CATEGORY_TITLE,INITIAL_VIDEOS,FINAL_VIDEOS,CHANGE_VIDEOS_PERCENT,INITIAL_CHANNELS,FINAL_VIDEOS,CHANGE_CHANNELS_PERCENT,INITIAL_VIEWS,FINAL_VIEWS,CHANGE_AVG_VIEWS_PERCENT,INITIAL_LIKES,FINAL_LIKES,CHANGE_AVG_LIKES_PERCENT,INITIAL_COMMENTS,FINAL_COMMENTS,CHANGE_AVG_COMMENTS_PERCENT
Autos & Vehicles,378,292,-23,209,161,-23,2644956,3415709,29,121856,145754,20,10051,8686,-14
Comedy,833,792,-5,421,421,0,5349730,14698799,175,400421,1041142,160,25022,14424,-42
Education,243,277,14,147,161,10,5209366,11528948,121,284364,783755,176,21351,15485,-27
Film & Animation,544,472,-13,294,267,-9,4991392,17837295,257,283236,917519,224,30405,22085,-27
Gaming,607,2303,279,392,1010,158,17487094,5486139,-69,973219,348858,-64,80721,17445,-78
Howto & Style,497,345,-31,303,226,-25,3821582,7183000,88,168472,357952,112,13419,9251,-31
News & Politics,807,565,-30,358,261,-27,2025170,2243284,11,77535,32979,-57,8319,5750,-31
People & Blogs,1609,1807,12,921,952,3,4543600,8389778,85,281841,529260,88,26489,14433,-46
Pets & Animals,66,60,-9,47,34,-28,3929083,6578221,67,133294,333489,150,9662,6873,-29
Science & Technology,338,251,-26,194,131,-32,17313017,16843713,-3,704356,938769,33,65668,27897,-58
Sports,1295,889,-31,456,387,-15,7729195,6395432,-17,172952,170695,-1,13851,12474,-10
Travel & Events,69,90,30,53,50,-6,2571314,15219619,492,73225,807439,1003,6747,14547,116
